url,price,Lng,Lat,district,distance,age,square,communityAverage,followers,tradeTime,constructionTime,livingRoom,floorType,floorHeight,buildingType,renovationCondition,buildingStructure,ladderRatio,elevator,fiveYearsProperty,subway
https://bj.lianjia.com/chengjiao/101101138309.html,64418,116.373681,40.012148,7,0.11309174003878204,19,58.99,62603.0,9,2017,2000,1,High,18,1,4,6,0.2,1,1,1
https://bj.lianjia.com/chengjiao/BJCP86987094.html,35066,116.330198,40.07422800000001,6,0.18673422179130178,12,86.98,50205.0,12,2014,2007,2,Middle,20,3,1,6,0.667,1,1,1
https://bj.lianjia.com/chengjiao/101101834698.html,46122,116.346109,39.756539,4,0.1598760695101101,25,52.47,39243.0,78,2017,1994,1,High,6,4,1,2,0.5,0,0,1
https://bj.lianjia.com/chengjiao/101092363165.html,31693,116.364975,40.073376,6,0.17441444779891258,10,88.35,44394.0,61,2016,2009,3,Middle,16,3,3,6,0.5,1,1,1
https://bj.lianjia.com/chengjiao/BJDC85827153.html,37103,116.455654,39.898084,1,0.048640044942414196,10,51.21,78235.0,3,2013,2009,1,Low,29,3,1,6,0.25,1,1,1
https://bj.lianjia.com/chengjiao/BJCY85616679.html,31643,116.454135,39.850772,7,0.07098388133231542,8,47.72,44711.0,0,2013,2011,1,Middle,23,1,1,6,0.192,1,1,1
https://bj.lianjia.com/chengjiao/BJFT89408040.html,35136,116.418443,39.866651,1,0.03913917794231809,35,55.5,66495.0,70,2015,1984,2,Top,6,4,4,2,0.333,0,0,1
https://bj.lianjia.com/chengjiao/BJCY89660820.html,28458,116.530268,39.931226,7,0.12580520696697212,18,67.82,49307.0,7,2015,2001,1,Middle,24,1,3,6,0.2,1,1,1
https://bj.lianjia.com/chengjiao/101100639783.html,52651,116.488988,39.870064,7,0.0884413265391355,11,55.46,52254.0,127,2016,2008,1,Low,21,3,3,6,0.5,1,1,0
https://bj.lianjia.com/chengjiao/BJCY90230712.html,29712,116.59488600000002,39.910677,7,0.18759784573658592,13,100.97,45177.0,26,2016,2006,2,Middle,6,4,4,4,0.5,0,0,0
https://bj.lianjia.com/chengjiao/BJSY84493562.html,10759,116.670101,40.118729,13,0.339167373492798,16,107.82,34694.0,0,2012,2003,3,Middle,18,1,1,2,0.25,1,1,0
https://bj.lianjia.com/chengjiao/BJFT86379817.html,44872,116.32922,39.892447,2,0.07905849359176043,30,46.8,59395.0,34,2013,1989,1,High,24,1,1,6,0.4,1,1,1
https://bj.lianjia.com/chengjiao/BJCP91249209.html,40612,116.368564,40.080471,6,0.18049847738138708,7,93.57,58311.0,5,2016,2012,2,High,11,4,4,6,0.5,1,1,1
https://bj.lianjia.com/chengjiao/BJXC86949763.html,50988,116.343245,39.900529,10,0.06425994293492618,15,26.34,92360.0,12,2014,2004,1,Low,20,1,1,6,0.121,1,1,1
https://bj.lianjia.com/chengjiao/BJCP84238687.html,14159,116.417866,40.134243,6,0.23028095667032006,22,83.34,34641.0,0,2012,1997,2,Bottom,6,4,1,2,0.5,0,0,0
https://bj.lianjia.com/chengjiao/BJTJ85770379.html,19712,116.69161,39.918128,11,0.28455107324345297,18,102.48,49798.0,0,2013,2001,3,Top,6,4,1,2,0.5,0,0,0
https://bj.lianjia.com/chengjiao/BJFT91224412.html,37959,116.315031,39.842469,2,0.11109792312189512,13,104.85,56205.0,7,2016,2006,2,Bottom,15,3,1,6,0.333,1,1,0
https://bj.lianjia.com/chengjiao/BJXC86213362.html,45108,116.368316,39.892214,10,0.04088059750052837,15,54.98,75806.0,0,2013,2004,1,Low,19,1,1,6,0.25,1,1,1
https://bj.lianjia.com/chengjiao/BJTJ85947232.html,24776,116.703234,39.911017,11,0.2959125327609487,10,64.58,57333.0,29,2014,2009,1,Middle,11,3,1,6,0.25,1,1,1
https://bj.lianjia.com/chengjiao/BJDX84573566.html,15673,116.45457,39.80987800000001,4,0.10545922711645064,24,68.91,40430.0,0,2012,1995,2,Top,6,4,1,2,0.333,0,0,0
https://bj.lianjia.com/chengjiao/BJCY84953026.html,31597,116.453206,39.965662,7,0.07665355229863617,30,66.78,65718.0,0,2012,1989,2,High,22,1,1,6,0.25,1,1,0
https://bj.lianjia.com/chengjiao/BJHD84931946.html,56146,116.340818,39.986077,8,0.10553201340351351,23,65.01,97565.0,0,2012,1996,2,Middle,6,4,1,2,0.5,0,0,1
https://bj.lianjia.com/chengjiao/101101785066.html,39466,116.407635,39.813874,2,0.09032630569773585,23,62.08,42163.0,244,2017,1996,1,Low,6,4,3,2,0.125,0,0,0
